,Label,Alias,Definition,Type,Domain,Missing Data Value(s),Missing Data Frequency
15,B11001_006E,total female-headed family households,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE): Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",int64,0 - 506124,NaN,0.0
16,B11001_001E,total households for which household type is known,HOUSEHOLD TYPE (INCLUDING LIVING ALONE): Estimate!!Total,int64,37 - 3281845,NaN,0.0
17,B25002_003E,total vacant housing units,OCCUPANCY STATUS: Estimate!!Total!!Vacant,int64,27 - 225736,NaN,0.0
18,B19025_001E,aggregate household income,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS): Estimate!!Aggregate household income in the past 12 months (in 2012 inflation-adjusted dollars),int64,2256300 - 280642429800,NaN,0.0
19,B23022_025E,total males unemployed for last 12 months,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total!!Male!!Did not work in the past 12 months,int64,3 - 752317,NaN,0.0
20,B23022_049E,total females unemployed for last 12 months,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total!!Female!!Did not work in the past 12 months,int64,0 - 1157163,NaN,0.0
21,B23022_001E,total population for which unemployment and sex cross-tabulations known,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total,int64,51 - 6808875,NaN,0.0
22,B17021_002E,total population below poverty level,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT: Estimate!!Total!!Income in the past 12 months below poverty level,int64,9 - 1764081,NaN,0.0
23,B17021_001E,total population for which poverty information available,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT: Estimate!!Total,int64,73 - 9906013,NaN,0.0
24,B25024_010E,number of mobile home housing units in structure,UNITS IN STRUCTURE: Estimate!!Total!!Mobile home,int64,0 - 84956,NaN,0.0
25,B25024_001E,total housing units in structure,UNITS IN STRUCTURE: Estimate!!Total,int64,64 - 3490118,NaN,0.0
26,C24010_038E,total female employed,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total!!Female,int64,18 - 2154281,NaN,0.0
27,C24010_001E,total population for which sex and occupation known,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total,int64,39 - 4709319,NaN,0.0
28,B19055_002E,total households with social security income,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Estimate!!Total!!With Social Security income,int64,13 - 793658,NaN,0.0
29,B19055_001E,total households for which social security income status known,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Estimate!!Total,int64,37 - 3281845,NaN,0.0
30,B09002_002E,total children in married couple families,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: Estimate!!Total!!In married-couple families,int64,0 - 1296290,NaN,0.0
31,B09002_001E,total children for which family type and age are known,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: Estimate!!Total,int64,0 - 1921993,NaN,0.0
32,B19001_017E,total households with over 200k income,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS): Estimate!!Total!!$200,000 or more",int64,0 - 250436,NaN,0.0
33,B06007_005E,total Spanish-speakers who speak english less than very well,"PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES: Estimate!!Total!!Speak Spanish!!Speak English less than ""very well""",float64,0 - 1593035,NaN,0.0
34,B06007_008E,total people who speak another language and speak English less than very well,"PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES: Estimate!!Total!!Speak other languages!!Speak English less than ""very well""",float64,0 - 751045,NaN,0.0
35,B06007_001E,total population with known language spoken at home and English ability,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES: Estimate!!Total,float64,76 - 9421033,NaN,0.0
36,B16010_002E,total population with less than a high school graduate education,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER: Estimate!!Total!!Less than high school graduate,int64,5 - 1495617,NaN,0.0
37,B16010_001E,"total for which education, employment, language at home known",EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER: Estimate!!Total,int64,67 - 6712079,NaN,0.0
38,C24050_002E,total population in extractive industries,"INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total!!Agriculture, forestry, fishing and hunting, and mining",int64,0 - 72171,NaN,0.0
39,C24050_001E,total population for which industry known,INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total,int64,39 - 4709319,NaN,0.0
40,C24050_029E,total people in service occupations,INDUSTRY BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total!!Service occupations,int64,2 - 897381,NaN,0.0
41,B08201_002E,total households with no available vehicle,HOUSEHOLD SIZE BY VEHICLES AVAILABLE: Estimate!!Total!!No vehicle available,int64,0 - 582100,NaN,0.0
42,B08201_001E,total households for which vehicle status and family size known,HOUSEHOLD SIZE BY VEHICLES AVAILABLE: Estimate!!Total,int64,37 - 3281845,NaN,0.0
43,B25064_001E,median gross rent,MEDIAN GROSS RENT (DOLLARS): Estimate!!Median gross rent,float64,300 - 1861,NaN,1.0
44,B25077_001E,median home value,MEDIAN VALUE (DOLLARS): Estimate!!Median value (dollars),float64,19800 - 966600,NaN,3.0
